order_id,order_date,product,category,region,quantity,unit_price,sales_amount,customer_id
ORD-0031,2023-08-05,Bookshelf,Furniture,West,4,875.74,3502.96,CUST-0104
ORD-0032,2023-08-15,Laptop,Electronics,North,2 ,927.1,1854.2,CUST-0115
ORD-0033,2023-03-27,Webcam,Accessories,West,4,866.0,3464.0,CUST-0103
ORD-0034,2023-03-26,Mouse,Accessories,West,5,927.25,4636.25,CUST-0150
ORD-0035,2023-08-21,Stapler,Office Supplies,West,3,198.0,594.0,CUST-0113
ORD-0036,2023-01-30,Tablet,Electronics,North,1 ,588.34,588.34,CUST-0132
ORD-0037,2023-09-29,Desk,Furniture,North,3,77.84,233.52,CUST-0104
ORD-0038,2023-12-12,Sofa,Furniture,North,10,253.75,2537.5,CUST-0138
ORD-0039,2023-01-21,Monitor,Electronics,East,5,212.22,1061.1,CUST-0145
ORD-0040,2023-06-10,Bookshelf,Furniture,West,3,674.97,2024.91,CUST-0119
ORD-0041,2023-08-23,pens,Office Supplies,NORTH,8,624.95,4999.6,CUST-0136
ORD-0042,2023-02-21,Smartphone,Electronics,East,3,933.93,2801.79,CUST-0104
ORD-0043,2023-05-06,Paper,Office Supplies,South,8,835.41,6683.28,CUST-0145
ORD-0044,2023-06-04,Tablet,Electronics,North,3,271.82,815.46,CUST-0106
ORD-0045,2023-10-11,,Furniture,EAST,10,218.52,2185.2,CUST-0121
ORD-0046,2023-04-15,Stapler,Office Supplies,East,1,101.38,101.38,CUST-0127
ORD-0047,2023-05-22,Laptop,Electronics,East,3,640.74,1922.22,CUST-0116
ORD-0048,2023-03-24,Webcam,Accessories,North,2,84.49,168.98,CUST-0144
ORD-0049,2023-03-18,Tablet,Electronics,South,7,136.17,953.19,CUST-0119
ORD-0050,2023-07-06,Tablet,Electronics,South,4,670.26,2681.04,CUST-0122
ORD-0051,2023-10-14,Keyboard,Accessories,South,3,976.44,2929.32,CUST-0111
ORD-0052,2023-07-31,Smartphone,Electronics,East,7 ,804.21,5629.47,CUST-0147
ORD-0053,2023-05-08,Notebook,Office Supplies,North,7,873.45,6114.15,CUST-0130
ORD-0054,2023-04-24,Sofa,Furniture,East,5,822.33,4111.65,CUST-0114
ORD-0055,2023-04-25,Smartphone,Electronics,West,6,285.82,1714.92,CUST-0104
ORD-0056,2023-05-23,Stapler,Office Supplies,East,1,124.19,124.19,CUST-0116
ORD-0057,2023-04-02,Pens,Office Supplies,North,10,440.22,4402.2,CUST-0146
ORD-0058,2023-06-10,Mouse,Accessories,West,10 ,198.18,1981.8,CUST-0102
ORD-0059,2023-12-29,Mouse,Accessories,South,6,436.98,2621.88,CUST-0142
ORD-0060,2023-06-19,Pens,Office Supplies,East,9,316.19,2845.71,CUST-0126
ORD-0061,2023-06-17,Headphones,Accessories,South,4 ,426.24,1704.96,CUST-0124
ORD-0062,2023-12-13,Bookshelf,Furniture,West,9,835.39,7518.51,CUST-0119
ORD-0063,2023-05-27,Sofa,Furniture,East,8,447.37,3578.96,CUST-0143
ORD-0064,2023-04-20,Keyboard,Accessories,North,5,520.3,2601.5,CUST-0140
ORD-0065,2023-11-14,Pens,Office Supplies,South,5,232.39,1161.95,CUST-0112
ORD-0066,2023-03-17,Laptop,Electronics,South,8,615.16,4921.28,CUST-0149
ORD-0067,2023-02-07,Webcam,Accessories,South,7,499.43,3496.01,CUST-0115
ORD-0068,2023-03-17,Laptop,Electronics,West,4,184.13,736.52,CUST-0144
ORD-0069,2023-09-23,Mouse,Accessories,South,2,461.9,923.8,CUST-0129
ORD-0070,2023-12-08,Stapler,Office Supplies,West,9,451.45,4063.05,CUST-0110
ORD-0071,2023-09-01,Headphones,Accessories,South,5,768.16,3840.8,CUST-0133
ORD-0072,2023-09-06,Bookshelf,Furniture,West,2,716.41,1432.82,CUST-0115
ORD-0073,2023-05-20,Paper,Office Supplies,North,3,159.32,477.96,CUST-0124
ORD-0074,2023-12-22,Chair,Furniture,North,7,413.52,2894.64,CUST-0134
ORD-0075,2023-08-27,mouse,Accessories,SOUTH,7,395.58,2769.06,CUST-0149
ORD-0076,2023-10-27,Monitor,Electronics,West,1,943.31,943.31,CUST-0119
ORD-0077,2023-07-19,keyboard,Accessories,WEST,4,280.21,1120.84,CUST-0131
ORD-0078,2023-01-15,Headphones,Accessories,West,3,842.1,2526.3,CUST-0108
ORD-0079,2023-11-15,Monitor,Electronics,North,2,646.32,1292.64,CUST-0108
ORD-0080,2023-08-25,Desk,Furniture,East,7,334.08,2338.56,CUST-0129
ORD-0081,2023-06-17,Stapler,Office Supplies,East,7,259.75,1818.25,CUST-0105
ORD-0082,2023-08-29,Laptop,Electronics,,4,653.64,2614.56,CUST-0149
ORD-0083,2023-11-30,Laptop,Electronics,South,4,840.84,3363.36,CUST-0139
ORD-0084,2023-03-20,Chair,Furniture,West,2,568.33,1136.66,CUST-0113
ORD-0085,2023-08-27,Paper,Office Supplies,South,10,611.18,6111.8,CUST-0147
ORD-0086,2023-02-28,Bookshelf,Furniture,North,10,35.42,354.2,CUST-0119
ORD-0087,2023-10-22,Webcam,Accessories,South,2,596.18,1192.36,CUST-0140
ORD-0088,2023-05-05,Tablet,Electronics,North,10,784.81,7848.1,CUST-0122
ORD-0089,2023-09-30,Headphones,Accessories,,9,651.07,5859.63,CUST-0100
ORD-0090,2023-08-04,Mouse,Accessories,West,6,639.23,3835.38,CUST-0129
ORD-0091,2023-12-29,Sofa,Furniture,South,9,965.82,8692.38,CUST-0117
ORD-0092,2023-11-12,Webcam,Accessories,West,10,275.71,2757.1,CUST-0115
ORD-0093,2023-02-14,stapler,Office Supplies,SOUTH,8 ,574.15,4593.2,CUST-0142
ORD-0094,2023-07-14,Pens,Office Supplies,West,6,190.02,1140.12,CUST-0113
ORD-0095,2023-07-01,Paper,Office Supplies,East,10,704.17,7041.7,CUST-0117
ORD-0096,2023-10-12,Smartphone,Electronics,North,4,722.87,2891.48,CUST-0131
ORD-0097,2023-10-12,Sofa,Furniture,West,8,795.0,6360.0,CUST-0105
ORD-0098,2023-05-31,Sofa,Furniture,South,5,667.32,3336.6,CUST-0123
ORD-0099,2023-08-31,Stapler,Office Supplies,East,6,705.83,4234.98,CUST-0117
ORD-0100,2023-06-06,Notebook,Office Supplies,North,4,322.39,1289.56,CUST-0147
ORD-0101,2023-10-02,Chair,Furniture,South,8,283.73,2269.84,CUST-0137
ORD-0102,2023-09-26,Pens,Office Supplies,South,5,235.21,1176.05,CUST-0111
ORD-0103,2023-06-04,Smartphone,Electronics,East,1,974.55,974.55,CUST-0135
ORD-0104,2023-05-30,Sofa,Furniture,North,1,578.32,578.32,CUST-0130
ORD-0105,2023-09-03,Headphones,Accessories,South,1,259.95,259.95,CUST-0130
ORD-0106,2023-02-28,Monitor,Electronics,West,2,581.25,1162.5,CUST-0143
ORD-0107,2023-01-28,Chair,Furniture,East,2,993.98,1987.96,CUST-0107
ORD-0108,2023-10-13,Keyboard,Accessories,West,8,909.42,7275.36,CUST-0119
ORD-0109,2023-10-29,Headphones,Accessories,North,10,960.51,9605.1,CUST-0106
ORD-0110,2023-04-17,Bookshelf,Furniture,North,3,247.47,742.41,CUST-0135
ORD-0111,2023-02-08,Desk,Furniture,West,8,692.48,5539.84,CUST-0130
ORD-0112,2023-05-30,Smartphone,Electronics,East,5,705.96,3529.8,CUST-0129
ORD-0113,2023-02-06,Bookshelf,Furniture,South,7,123.63,865.41,CUST-0114
ORD-0114,2023-11-28,,Furniture,South,2,69.04,138.08,CUST-0150
ORD-0115,2023-06-07,Stapler,Office Supplies,North,8,691.79,5534.32,CUST-0144
ORD-0116,2023-07-26,,Office Supplies,West,2,602.06,1204.12,CUST-0127
ORD-0117,2023-06-15,Pens,Office Supplies,North,4,962.29,3849.16,CUST-0136
ORD-0118,2023-10-28,Tablet,Electronics,North,3,475.8,1427.4,CUST-0141
ORD-0119,2023-08-15,Notebook,Office Supplies,West,8,969.36,7754.88,CUST-0130
ORD-0120,2023-06-28,Headphones,Accessories,East,2,859.16,1718.32,CUST-0121
ORD-0121,2023-07-30,Headphones,Accessories,West,9,46.33,416.97,CUST-0105
ORD-0122,2023-06-11,Paper,Office Supplies,North,7,866.26,6063.82,CUST-0100
ORD-0123,2023-12-03,Webcam,Accessories,North,4,523.25,2093.0,CUST-0139
ORD-0124,2023-09-13,Mouse,Accessories,South,5,553.73,2768.65,CUST-0118
ORD-0125,2023-08-13,Mouse,Accessories,North,10,801.32,8013.2,CUST-0145
ORD-0126,2023-03-23,Pens,Office Supplies,West,2,232.45,464.9,CUST-0107
ORD-0127,2023-08-25,Smartphone,Electronics,West,5 ,513.78,2568.9,CUST-0117
ORD-0128,2023-08-01,Webcam,Accessories,South,8,555.75,4446.0,CUST-0124
ORD-0129,2023-04-08,Desk,Furniture,East,7,346.48,2425.36,CUST-0150
ORD-0130,2023-09-17,Pens,Office Supplies,East,5,839.1,4195.5,CUST-0137
ORD-0131,2023-12-04,keyboard,Accessories,WEST,9,489.5,4405.5,CUST-0121
ORD-0132,2023-10-10,Webcam,Accessories,East,4,980.97,3923.88,CUST-0115
ORD-0133,2023-10-20,Keyboard,Accessories,West,1,324.99,324.99,CUST-0130
ORD-0134,2023-12-28,Webcam,Accessories,South,8,965.18,7721.44,CUST-0108
ORD-0135,2023-09-15,Pens,Office Supplies,West,2,530.69,1061.38,CUST-0129
ORD-0136,2023-01-08,Sofa,Furniture,South,2,474.8,949.6,CUST-0116
ORD-0137,2023-06-23,Mouse,Accessories,East,9,386.21,3475.89,CUST-0120
ORD-0138,2023-11-17,Mouse,Accessories,North,4,634.85,2539.4,CUST-0118
ORD-0139,2023-04-27,monitor,Electronics,NORTH,2,449.24,898.48,CUST-0144
ORD-0140,2023-06-03,Laptop,Electronics,East,1,300.43,300.43,CUST-0123
ORD-0141,2023-08-09,Chair,Furniture,,10,684.98,6849.8,CUST-0111
ORD-0142,2023-03-29,Desk,Furniture,West,10 ,686.3,6863.0,CUST-0131
ORD-0143,2023-10-26,Chair,Furniture,West,5,464.97,2324.85,CUST-0142
ORD-0144,2023-01-05,Headphones,Accessories,South,2,447.31,894.62,CUST-0122
ORD-0145,2023-10-28,Stapler,Office Supplies,East,8,846.85,6774.8,CUST-0112
ORD-0146,2023-07-16,Mouse,Accessories,South,7,576.2,4033.4,CUST-0136
ORD-0147,2023-06-01,Pens,Office Supplies,West,5 ,18.02,90.1,CUST-0143
ORD-0148,2023-01-26,Headphones,Accessories,South,10,803.91,8039.1,CUST-0114
ORD-0149,2023-11-22,Bookshelf,Furniture,South,2,904.37,1808.74,CUST-0141
ORD-0150,2023-01-21,Stapler,Office Supplies,North,10,371.21,3712.1,CUST-0108
ORD-0151,2023-02-16,Paper,Office Supplies,West,3,208.79,626.37,CUST-0150
ORD-0152,2023-10-04,Paper,Office Supplies,South,5,914.91,4574.55,CUST-0130
ORD-0153,2023-06-01,Pens,Office Supplies,West,2,149.35,298.7,CUST-0114
ORD-0154,2023-12-13,Headphones,Accessories,North,7,23.78,166.46,CUST-0134
ORD-0155,2023-03-05,Headphones,Accessories,East,10,387.22,3872.2,CUST-0140
ORD-0156,2023-07-10,Smartphone,Electronics,West,1,623.35,623.35,CUST-0135
ORD-0157,2023-06-17,Desk,Furniture,West,5,652.75,3263.75,CUST-0107
ORD-0158,2023-03-13,Laptop,Electronics,East,8,124.96,999.68,CUST-0115
ORD-0159,2023-10-03,Sofa,Furniture,West,6,673.78,4042.68,CUST-0147
ORD-0160,2023-12-23,Keyboard,Accessories,West,2,835.36,1670.72,CUST-0139
ORD-0161,2023-07-28,Pens,Office Supplies,East,4,448.95,1795.8,CUST-0115
ORD-0162,2023-07-05,Tablet,Electronics,East,1,404.16,404.16,CUST-0112
ORD-0163,2023-03-04,Mouse,Accessories,South,10,971.38,9713.8,CUST-0103
ORD-0164,2023-06-20,chair,Furniture,SOUTH,2,831.52,1663.04,CUST-0135
ORD-0165,2023-04-17,Chair,Furniture,East,3,790.76,2372.28,CUST-0138
ORD-0166,2023-01-02,Notebook,Office Supplies,South,9,258.15,2323.35,CUST-0111
ORD-0167,2023-02-26,Smartphone,Electronics,North,6,792.08,4752.48,CUST-0115
ORD-0168,2023-10-29,Pens,Office Supplies,South,5,61.88,309.4,CUST-0147
ORD-0169,2023-08-04,Laptop,Electronics,West,8,780.24,6241.92,CUST-0132
ORD-0170,2023-10-31,Monitor,Electronics,South,10,52.93,529.3,CUST-0150
ORD-0171,2023-12-04,Stapler,Office Supplies,,1,998.6,998.6,CUST-0125
ORD-0172,2023-08-07,Monitor,Electronics,West,2,900.27,1800.54,CUST-0120
ORD-0173,2023-11-08,Desk,Furniture,South,5,628.07,3140.35,CUST-0137
ORD-0174,2023-10-08,Stapler,Office Supplies,East,8,510.5,4084.0,CUST-0127
ORD-0175,2023-02-20,,Electronics,West,8,889.21,7113.68,CUST-0126
ORD-0176,2023-06-23,Webcam,Accessories,West,2,319.42,638.84,CUST-0120
ORD-0177,2023-12-07,Paper,Office Supplies,South,8,76.46,611.68,CUST-0105
ORD-0178,2023-02-17,Mouse,Accessories,East,3,560.81,1682.43,CUST-0137
ORD-0179,2023-10-15,Pens,Office Supplies,West,6,874.87,5249.22,CUST-0148
ORD-0180,2023-08-05,tablet,Electronics,EAST,6,112.56,675.36,CUST-0132
ORD-0181,2023-04-19,Sofa,Furniture,South,2,356.61,713.22,CUST-0135
ORD-0182,2023-07-08,tablet,Electronics,,7,846.7,5926.9,CUST-0149
ORD-0183,2023-11-15,,Electronics,NORTH,3,280.54,841.62,CUST-0148
ORD-0184,2023-06-08,Paper,Office Supplies,North,3,871.16,2613.48,CUST-0136
ORD-0185,2023-12-03,Mouse,Accessories,South,1,100.84,100.84,CUST-0133
ORD-0186,2023-04-21,Webcam,Accessories,West,6,165.84,995.04,CUST-0119
ORD-0187,2023-06-16,Laptop,Electronics,South,3,756.89,2270.67,CUST-0103
ORD-0188,2023-12-12,Tablet,Electronics,West,7,490.81,3435.67,CUST-0128
ORD-0189,2023-08-01,Notebook,Office Supplies,North,6,435.61,2613.66,CUST-0118
ORD-0190,2023-12-14,Headphones,Accessories,North,4,401.31,1605.24,CUST-0138
ORD-0191,2023-01-29,Smartphone,Electronics,East,4,769.68,3078.72,CUST-0148
ORD-0192,2023-05-11,Paper,Office Supplies,North,1,502.41,502.41,CUST-0127
ORD-0193,2023-03-31,Sofa,Furniture,South,9,563.14,5068.26,CUST-0142
ORD-0194,2023-07-01,Monitor,Electronics,North,7,28.55,199.85,CUST-0104
ORD-0195,2023-06-10,Webcam,Accessories,West,5,124.02,620.1,CUST-0101
ORD-0196,2023-06-16,Sofa,Furniture,East,2,442.34,884.68,CUST-0106
ORD-0197,2023-05-05,Webcam,Accessories,North,7,871.82,6102.74,CUST-0147
ORD-0198,2023-06-23,Bookshelf,Furniture,South,2,515.38,1030.76,CUST-0107
ORD-0199,2023-09-29,Bookshelf,Furniture,East,3,243.91,731.73,CUST-0109
ORD-0200,2023-05-12,Chair,Furniture,South,2,185.37,370.74,CUST-0149
ORD-0201,2023-11-18,Webcam,Accessories,West,10,646.56,6465.6,CUST-0139
ORD-0202,2023-06-15,Notebook,Office Supplies,West,2,474.23,948.46,CUST-0140
ORD-0203,2023-06-05,Pens,Office Supplies,East,9 ,83.45,751.05,CUST-0129
ORD-0204,2023-08-20,laptop,Electronics,EAST,5,85.96,429.8,CUST-0105
ORD-0205,2023-11-11,Webcam,Accessories,North,8,909.96,7279.68,CUST-0136
ORD-0206,2023-11-30,Bookshelf,Furniture,West,9,159.35,1434.15,CUST-0103
ORD-0207,2023-08-19,Tablet,Electronics,North,9,649.67,5847.03,CUST-0102
ORD-0208,2023-05-07,,Accessories,South,6,379.12,2274.72,CUST-0118
ORD-0209,2023-07-18,Headphones,Accessories,North,6,75.25,451.5,CUST-0106
ORD-0210,2023-10-13,Headphones,Accessories,East,10,874.55,8745.5,CUST-0121
ORD-0211,2023-02-11,Bookshelf,Furniture,East,7,137.66,963.62,CUST-0145
ORD-0212,2023-02-13,Stapler,Office Supplies,East,3,673.42,2020.26,CUST-0147
ORD-0213,2023-12-17,Monitor,Electronics,East,1,368.97,368.97,CUST-0111
ORD-0214,2023-04-20,Stapler,Office Supplies,South,4,999.98,3999.92,CUST-0109
ORD-0215,2023-02-09,Pens,Office Supplies,North,6,877.63,5265.78,CUST-0139
ORD-0216,2023-03-09,Keyboard,Accessories,South,3,833.03,2499.09,CUST-0149
ORD-0217,2023-11-16,Sofa,Furniture,,7,370.66,2594.62,CUST-0146
ORD-0218,2023-05-02,headphones,Accessories,WEST,4,538.67,2154.68,CUST-0119
ORD-0219,2023-08-29,,Furniture,West,8,771.74,6173.92,CUST-0149
ORD-0220,2023-07-15,Keyboard,Accessories,South,10,147.01,1470.1,CUST-0116
ORD-0221,2023-01-27,Headphones,Accessories,North,9,852.65,7673.85,CUST-0118
ORD-0222,2023-02-12,Bookshelf,Furniture,West,9,155.88,1402.92,CUST-0127
ORD-0223,2023-02-16,Sofa,Furniture,East,1,420.75,420.75,CUST-0125
ORD-0224,2023-09-15,Notebook,Office Supplies,West,2,381.16,762.32,CUST-0101
ORD-0225,2023-06-13,Tablet,Electronics,South,3,47.92,143.76,CUST-0130
ORD-0226,2023-12-23,Sofa,Furniture,West,10,15.2,152.0,CUST-0105
ORD-0227,2023-01-10,Notebook,Office Supplies,South,9,940.82,8467.38,CUST-0138
ORD-0228,2023-09-28,Mouse,Accessories,East,4,308.14,1232.56,CUST-0103
ORD-0229,2023-05-03,webcam,Accessories,NORTH,2,838.32,1676.64,CUST-0131
ORD-0230,2023-11-02,Smartphone,Electronics,South,5,434.95,2174.75,CUST-0139
ORD-0231,2023-06-30,,Furniture,South,2,528.25,1056.5,CUST-0123
ORD-0232,2023-02-04,Monitor,Electronics,West,1,639.31,639.31,CUST-0123
ORD-0233,2023-05-10,Tablet,Electronics,North,6,248.71,1492.26,CUST-0142
ORD-0234,2023-11-18,Tablet,Electronics,South,1,358.78,358.78,CUST-0121
ORD-0235,2023-11-26,Sofa,Furniture,West,3,813.38,2440.14,CUST-0104
ORD-0236,2023-08-23,Tablet,Electronics,South,1,793.2,793.2,CUST-0102
ORD-0237,2023-06-11,Stapler,Office Supplies,West,5,46.25,231.25,CUST-0141
ORD-0238,2023-04-08,paper,Office Supplies,NORTH,6,280.48,1682.88,CUST-0123
ORD-0239,2023-08-12,Webcam,Accessories,West,6,973.99,5843.94,CUST-0131
ORD-0240,2023-12-21,Headphones,Accessories,East,2,729.81,1459.62,CUST-0105
ORD-0241,2023-08-09,Bookshelf,Furniture,East,2,89.27,178.54,CUST-0142
ORD-0242,2023-06-01,Stapler,Office Supplies,West,3,692.87,2078.61,CUST-0122
ORD-0243,2023-08-17,Tablet,Electronics,West,5,643.07,3215.35,CUST-0150
ORD-0244,2023-01-30,Monitor,Electronics,East,9,803.09,7227.81,CUST-0143
ORD-0245,2023-03-23,Smartphone,Electronics,West,1,134.97,134.97,CUST-0115
ORD-0246,2023-11-27,Paper,Office Supplies,West,10,42.06,420.6,CUST-0109
ORD-0247,2023-12-14,Headphones,Accessories,East,8,765.45,6123.6,CUST-0136
ORD-0248,2023-03-12,Stapler,Office Supplies,,5,257.12,1285.6,CUST-0107
ORD-0249,2023-01-14,Sofa,Furniture,West,9,126.58,1139.22,CUST-0149
ORD-0250,2023-05-14,Keyboard,Accessories,East,8,208.18,1665.44,CUST-0108
ORD-0143,2023-10-26,Chair,Furniture,West,5,464.97,2324.85,CUST-0142
ORD-0007,2023-02-10,Paper,Office Supplies,South,2,55.37,110.74,CUST-0114
ORD-0098,2023-05-31,Sofa,Furniture,South,5 ,667.32,3336.6,CUST-0123
ORD-0061,2023-06-17,Headphones,Accessories,South,4,426.24,1704.96,CUST-0124
ORD-0113,2023-02-06,Bookshelf,Furniture,South,7,123.63,865.41,CUST-0114
